Strain	State	Collection Data	PANGO Lineage
hCoV-19/India/DL-NCDC-90946/2020	Delhi	15/12/20	B.1.1.216
hCoV-19/India/DL-NCDC-90947/2020	Delhi	15/12/20	B.1.1.216
hCoV-19/India/DL-NCDC-90949/2020	Delhi	18/12/20	B.1.1.216
hCoV-19/India/DL-NCDC-709127/2020	Delhi	01/12/20	B.1.1.216
hCoV-19/India/DEL-NCDC-INSACOG-130988/2021	Delhi	20/01/21	B.1.1.216
hCoV-19/India/DL-NCDC-70935/2020	Delhi	19/12/20	B.1.1.216
hCoV-19/India/DL-NCDC-90951/2020	Delhi	03/12/20	B.1.1.216
hCoV-19/India/DL-NCDC-70969/2020	Delhi	21/12/20	B.1.1.216
hCoV-19/India/DL-NCDC-90998/2020	Delhi	21/12/20	B.1.1.216
hCoV-19/India/DL-NCDC-909117/2020	Delhi	22/12/20	B.1.1.216
hCoV-19/India/DL-NCDC-909110/2020	Delhi	22/12/20	B.1.1.216
hCoV-19/India/DEL-NCDC-INSACOG-2209213/2020	Delhi	06/12/20	B.1.1.216
hCoV-19/India/DL-NCDC-609321/2020	Delhi	19/12/20	B.1
hCoV-19/India/DL-NCDC-909149/2020	Delhi	16/12/20	B.1.1.216
hCoV-19/India/DL-NCDC-110974/2021	Delhi	05/02/21	B.1.1.216
hCoV-19/India/DL-NCDC-110975/2021	Delhi	05/02/21	B.1.1.216
hCoV-19/India/DL-NCDC-70919/2020	Delhi	09/12/20	B.1.1.216
hCoV-19/India/DL-NCDC-90918/2020	Delhi	28/11/20	B.1
hCoV-19/India/DL-NCDC-609370/2020	Delhi	19/12/20	B.1.1.216
hCoV-19/India/DL-NCDC-709322/2020	Delhi	23/12/20	B.1
hCoV-19/India/DL-NCDC-90943/2020	Delhi	12/12/20	B.1.1.216
hCoV-19/India/DL-NCDC-909320/2020	Delhi	16/12/20	B.1.1.216
hCoV-19/India/DL-NCDC-709235/2020	Delhi	22/12/20	B.1.1.216
hCoV-19/India/DL-NCDC-809136/2020	Delhi	18/12/20	B.1.1.216
hCoV-19/India/DL-NCDC-709110/2020	Delhi	23/12/20	B.1.1
hCoV-19/India/DL-NCDC-1109369/2021	Delhi	18/02/21	B.1.1.216
hCoV-19/India/DL-NCDC-70932/2020	Delhi	21/12/20	B.1.1.216
hCoV-19/India/DL-NCDC-909335/2020	Delhi	16/12/20	B.1.1.216
hCoV-19/India/DL-NCDC-1009159/2020	Delhi	27/11/20	B.1.1.216
hCoV-19/India/DL-NCDC-909327/2020	Delhi	21/12/20	B.1.1.216
hCoV-19/India/DL-NCDC-70975/2020	Delhi	21/12/20	Others
hCoV-19/India/DL-NCDC-809183/2020	Delhi	28/12/20	B.1
hCoV-19/India/DL-NCDC-909148/2020	Delhi	10/12/20	B.1.1.216
hCoV-19/India/DL-NCDC-70979/2020	Delhi	21/12/20	B.1.1.216
hCoV-19/India/DL-NCDC-709381/2020	Delhi	04/12/20	B.1.1.216
hCoV-19/India/DL-NCDC-70951/2021	Delhi	15/01/21	B.1.1.216
hCoV-19/India/DL-NCDC-909126/2020	Delhi	22/12/20	B.1.1.216
hCoV-19/India/DL-NCDC-90984/2020	Delhi	04/12/20	B.1.1
hCoV-19/India/DL-NCDC-709233/2020	Delhi	22/12/20	B.1.1.216
hCoV-19/India/DL-NCDC-70994/2020	Delhi	01/12/20	B.1
hCoV-19/India/DL-NCDC-1109364/2021	Delhi	15/02/21	B.1.1.216
hCoV-19/India/DL-NCDC-609232/2020	Delhi	26/11/20	B.1.1.216
hCoV-19/India/DL-NCDC-1009155/2020	Delhi	22/12/20	B.1.1.216
hCoV-19/India/DL-NCDC-809154/2020	Delhi	02/12/20	B.1.1.216
hCoV-19/India/DL-NCDC-70927/2020	Delhi	16/12/20	B.1.1.216
hCoV-19/India/DL-NCDC-609238/2020	Delhi	02/12/20	B.1.1.216
hCoV-19/India/DL-NCDC-809196/2020	Delhi	27/11/20	B.1.1.216
hCoV-19/India/DL-NCDC-110945/2021	Delhi	29/01/21	B.1.1.216
hCoV-19/India/DL-NCDC-909334/2020	Delhi	15/12/20	B.1.1.216
hCoV-19/India/DL-NCDC-70930/2020	Delhi	22/12/20	B.1.1.216
hCoV-19/India/DL-NCDC-909161/2020	Delhi	25/11/20	Others
hCoV-19/India/DL-NCDC-609313/2020	Delhi	01/12/20	B.1.1.216
hCoV-19/India/DL-NCDC-609315/2020	Delhi	18/12/20	B.1.1.216
hCoV-19/India/DL-NCDC-609326/2020	Delhi	19/12/20	B.1.1.216
hCoV-19/India/DL-NCDC-609325/2020	Delhi	19/12/20	B.1.1.216
hCoV-19/India/DL-NCDC-609351/2020	Delhi	17/12/20	B.1.1.216
hCoV-19/India/DL-NCDC-609316/2020	Delhi	18/12/20	B.1.1.216
hCoV-19/India/DL-NCDC-609346/2020	Delhi	23/12/20	B.1.1.216
hCoV-19/India/DL-NCDC-609337/2020	Delhi	20/12/20	B.1.1.216
hCoV-19/India/DL-NCDC-1109363/2021	Delhi	15/02/21	B.1.1.216
hCoV-19/India/DL-NCDC-709342/2020	Delhi	14/12/20	B.1.1.216
hCoV-19/India/DL-NCDC-90926/2020	Delhi	25/11/20	B.1
hCoV-19/India/DL-NCDC-709259/2020	Delhi	16/12/20	B.1.1.216
hCoV-19/India/DL-NCDC-909317/2020	Delhi	15/12/20	B.1.1.216
hCoV-19/India/DL-NCDC-709220/2020	Delhi	22/12/20	B.1.1.216
hCoV-19/India/DL-NCDC-809119/2020	Delhi	16/12/20	Others
hCoV-19/India/DL-NCDC-70916/2020	Delhi	11/12/20	B.1.1.216
hCoV-19/India/DL-NCDC-709323/2020	Delhi	15/12/20	B.1
hCoV-19/India/DL-NCDC-909314/2020	Delhi	14/12/20	B.1.1.216
hCoV-19/India/DL-NCDC-1109373/2021	Delhi	21/02/21	B.1.1.216
hCoV-19/India/DL-NCDC-909318/2020	Delhi	15/12/20	B.1.1.216
hCoV-19/India/DL-NCDC-609373/2020	Delhi	15/12/20	B.1.1.216
hCoV-19/India/DL-NCDC-609371/2020	Delhi	21/12/20	B.1.1.216
hCoV-19/India/DL-NCDC-609377/2020	Delhi	22/12/20	B.1.1.216
hCoV-19/India/DL-NCDC-609364/2020	Delhi	21/12/20	B.1.1.216
hCoV-19/India/DL-NCDC-609366/2020	Delhi	21/12/20	B.1.1.216
hCoV-19/India/DL-NCDC-609369/2020	Delhi	18/12/20	B.1.1.216
hCoV-19/India/DL-NCDC-1009176/2020	Delhi	15/12/20	B.1.1.216
hCoV-19/India/DL-NCDC-909319/2020	Delhi	16/12/20	B.1.1.216
hCoV-19/India/DL-NCDC-70941/2020	Delhi	09/12/20	B.1.1.216
hCoV-19/India/DL-NCDC-1009156/2020	Delhi	22/12/20	B.1.1.216
hCoV-19/India/DL-NCDC-809131/2020	Delhi	17/12/20	B.1
hCoV-19/India/DL-NCDC-709106/2020	Delhi	21/12/20	B.1.1.216
hCoV-19/India/DL-NCDC-809174/2020	Delhi	19/12/20	B.1
hCoV-19/India/DL-NCDC-909160/2020	Delhi	03/12/20	B.1.1.216
hCoV-19/India/DL-NCDC-609343/2020	Delhi	22/12/20	B.1.1.216
hCoV-19/India/DL-NCDC-609352/2020	Delhi	17/12/20	B.1.1.216
hCoV-19/India/DL-NCDC-609333/2020	Delhi	19/12/20	B.1.1.216
hCoV-19/India/DL-NCDC-609347/2020	Delhi	23/12/20	B.1.1.216
hCoV-19/India/DL-NCDC-809118/2020	Delhi	18/12/20	B.1.1.216
hCoV-19/India/DL-NCDC-90921/2020	Delhi	28/11/20	B.1
hCoV-19/India/DL-NCDC-90983/2020	Delhi	17/12/20	B.1.1.216
hCoV-19/India/DL-NCDC-809179/2020	Delhi	22/12/20	B.1.1.216
hCoV-19/India/DL-NCDC-909144/2020	Delhi	29/11/20	B.1.1.216
hCoV-19/India/DL-NCDC-90973/2020	Delhi	22/12/20	B.1.1.216
hCoV-19/India/DL-NCDC-90970/2020	Delhi	17/12/20	B.1.1.216
hCoV-19/India/DL-NCDC-809197/2020	Delhi	26/11/20	B.1
hCoV-19/India/DL-NCDC-70947/2021	Delhi	16/01/21	B.1.1.216
hCoV-19/India/DL-NCDC-809100/2020	Delhi	23/12/20	B.1.1.216
hCoV-19/India/DL-NCDC-909305/2020	Delhi	05/12/20	B.1.1.216
hCoV-19/India/DL-NCDC-809143/2020	Delhi	03/12/20	B.1.1.216
hCoV-19/India/DL-NCDC-809216/2020	Delhi	25/11/20	B.1.1.216
hCoV-19/India/DL-NCDC-70981/2020	Delhi	21/12/20	B.1
